




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (8177)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
trachea formation (GO:0060440)	7	7	2.78	+	2.52	1.56E-03	1.40E-02
metaphase/anaphase transition of mitotic cell cycle (GO:0007091)	7	7	2.78	+	2.52	1.56E-03	1.40E-02
negative regulation of nuclear receptor-mediated glucocorticoid signaling pathway (GO:2000323)	7	7	2.78	+	2.52	1.56E-03	1.40E-02
regulation of protein localization to endosome (GO:1905666)	14	14	5.56	+	2.52	2.43E-06	4.37E-05
chromosome movement towards spindle pole (GO:0051305)	7	7	2.78	+	2.52	1.56E-03	1.40E-02
rDNA heterochromatin formation (GO:0000183)	7	7	2.78	+	2.52	1.56E-03	1.40E-02
limb joint morphogenesis (GO:0036022)	7	7	2.78	+	2.52	1.56E-03	1.40E-02
response to sodium arsenite (GO:1903935)	7	7	2.78	+	2.52	1.56E-03	1.40E-02
glycolipid transport (GO:0046836)	7	7	2.78	+	2.52	1.56E-03	1.40E-02
positive regulation of nuclear cell cycle DNA replication (GO:0010571)	7	7	2.78	+	2.52	1.56E-03	1.40E-02
positive regulation of maintenance of mitotic sister chromatid cohesion (GO:0034184)	6	6	2.38	+	2.52	3.93E-03	3.10E-02
positive regulation of maintenance of sister chromatid cohesion (GO:0034093)	6	6	2.38	+	2.52	3.93E-03	3.10E-02
CENP-A containing chromatin assembly (GO:0034080)	11	11	4.37	+	2.52	3.88E-05	5.55E-04
meiotic chromosome condensation (GO:0010032)	6	6	2.38	+	2.52	3.93E-03	3.10E-02
mitotic centrosome separation (GO:0007100)	6	6	2.38	+	2.52	3.93E-03	3.09E-02
viral transcription (GO:0019083)	6	6	2.38	+	2.52	3.93E-03	3.09E-02
B cell apoptotic process (GO:0001783)	9	9	3.58	+	2.52	2.46E-04	2.93E-03
regulation of platelet-derived growth factor receptor-beta signaling pathway (GO:2000586)	8	8	3.18	+	2.52	6.20E-04	6.38E-03
positive regulation of apoptotic process involved in morphogenesis (GO:1902339)	6	6	2.38	+	2.52	3.93E-03	3.09E-02
metaphase/anaphase transition of cell cycle (GO:0044784)	8	8	3.18	+	2.52	6.20E-04	6.37E-03
protein depalmitoylation (GO:0002084)	6	6	2.38	+	2.52	3.93E-03	3.09E-02
nucleolar chromatin organization (GO:1990700)	8	8	3.18	+	2.52	6.20E-04	6.37E-03
cellular response to salt (GO:1902075)	6	6	2.38	+	2.52	3.93E-03	3.09E-02
peptidyl-proline modification (GO:0018208)	8	8	3.18	+	2.52	6.20E-04	6.36E-03
positive regulation of hematopoietic progenitor cell differentiation (GO:1901534)	6	6	2.38	+	2.52	3.93E-03	3.09E-02
'de novo' IMP biosynthetic process (GO:0006189)	6	6	2.38	+	2.52	3.93E-03	3.08E-02
polar body extrusion after meiotic divisions (GO:0040038)	6	6	2.38	+	2.52	3.93E-03	3.08E-02
regulation of lymphangiogenesis (GO:1901490)	6	6	2.38	+	2.52	3.93E-03	3.08E-02
regulation of protein autophosphorylation (GO:0031952)	9	9	3.58	+	2.52	2.46E-04	2.93E-03
positive regulation of chromosome condensation (GO:1905821)	8	8	3.18	+	2.52	6.20E-04	6.36E-03
UDP-N-acetylglucosamine biosynthetic process (GO:0006048)	10	10	3.97	+	2.52	9.77E-05	1.28E-03
negative regulation of ubiquitin-protein transferase activity (GO:0051444)	6	6	2.38	+	2.52	3.93E-03	3.08E-02
positive regulation of protein localization to endosome (GO:1905668)	13	13	5.17	+	2.52	6.12E-06	1.03E-04
positive regulation of microtubule nucleation (GO:0090063)	8	8	3.18	+	2.52	6.20E-04	6.35E-03
centrosome separation (GO:0051299)	9	9	3.58	+	2.52	2.46E-04	2.92E-03
vascular endothelial growth factor receptor-2 signaling pathway (GO:0036324)	6	6	2.38	+	2.52	3.93E-03	3.08E-02
platelet-derived growth factor receptor-beta signaling pathway (GO:0035791)	8	8	3.18	+	2.52	6.20E-04	6.35E-03
positive regulation of protein localization to cell cortex (GO:1904778)	6	6	2.38	+	2.52	3.93E-03	3.08E-02
regulation of protein localization to cell cortex (GO:1904776)	8	8	3.18	+	2.52	6.20E-04	6.34E-03
positive regulation of apoptotic process involved in development (GO:1904747)	6	6	2.38	+	2.52	3.93E-03	3.07E-02
cleavage furrow formation (GO:0036089)	8	8	3.18	+	2.52	6.20E-04	6.34E-03
ribosomal large subunit export from nucleus (GO:0000055)	6	6	2.38	+	2.52	3.93E-03	3.07E-02
positive regulation of hemoglobin biosynthetic process (GO:0046985)	6	6	2.38	+	2.52	3.93E-03	3.07E-02
positive regulation of cardiac epithelial to mesenchymal transition (GO:0062043)	9	9	3.58	+	2.52	2.46E-04	2.92E-03
regulation of cardiac epithelial to mesenchymal transition (GO:0062042)	10	10	3.97	+	2.52	9.77E-05	1.27E-03
negative regulation of extracellular matrix disassembly (GO:0010716)	6	6	2.38	+	2.52	3.93E-03	3.07E-02
membrane to membrane docking (GO:0022614)	6	6	2.38	+	2.52	3.93E-03	3.07E-02
'de novo' XMP biosynthetic process (GO:0097294)	8	8	3.18	+	2.52	6.20E-04	6.34E-03
XMP biosynthetic process (GO:0097293)	8	8	3.18	+	2.52	6.20E-04	6.33E-03
XMP metabolic process (GO:0097292)	8	8	3.18	+	2.52	6.20E-04	6.33E-03
positive regulation of protein localization to early endosome (GO:1902966)	10	10	3.97	+	2.52	9.77E-05	1.27E-03
regulation of protein localization to early endosome (GO:1902965)	10	10	3.97	+	2.52	9.77E-05	1.27E-03
positive regulation of myeloid dendritic cell cytokine production (GO:0002735)	6	6	2.38	+	2.52	3.93E-03	3.07E-02
regulation of myeloid dendritic cell cytokine production (GO:0002733)	6	6	2.38	+	2.52	3.93E-03	3.06E-02
positive regulation of sister chromatid cohesion (GO:0045876)	10	10	3.97	+	2.52	9.77E-05	1.27E-03
cell motility involved in cerebral cortex radial glia guided migration (GO:0021814)	6	6	2.38	+	2.52	3.93E-03	3.06E-02
DNA strand elongation involved in DNA replication (GO:0006271)	15	14	5.96	+	2.35	2.29E-05	3.43E-04
protein localization to condensed chromosome (GO:1903083)	13	12	5.17	+	2.32	1.27E-04	1.60E-03
protein localization to kinetochore (GO:0034501)	13	12	5.17	+	2.32	1.27E-04	1.60E-03
mitotic DNA replication (GO:1902969)	13	12	5.17	+	2.32	1.27E-04	1.60E-03
protein localization to chromosome, centromeric region (GO:0071459)	25	23	9.93	+	2.32	6.83E-08	1.63E-06
detection of cell density (GO:0060245)	12	11	4.77	+	2.31	2.96E-04	3.41E-03
negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901029)	12	11	4.77	+	2.31	2.96E-04	3.40E-03
ubiquitin recycling (GO:0010992)	12	11	4.77	+	2.31	2.96E-04	3.40E-03
negative regulation of PERK-mediated unfolded protein response (GO:1903898)	12	11	4.77	+	2.31	2.96E-04	3.40E-03
positive regulation of cell migration involved in sprouting angiogenesis (GO:0090050)	23	21	9.14	+	2.30	3.68E-07	7.84E-06
trachea morphogenesis (GO:0060439)	11	10	4.37	+	2.29	6.87E-04	6.91E-03
